i_name,v_count,e_count,size1,time1,threshold1,size2a,time2a,threshold2,size2b,time2b
David Copperfield,112,425,18,0.003,19,18,0.015,19,18,0.015
Jazz musicians,198,2742,13,0.163,14,14,0.165,14,14,0.165
PDZBase,212,244,52,0.013,53,52,0.0,53,52,0.0
U.Rovira i Virgili,1133,5451,210,4.8,212,222,0.002,210,210,5.085
Euroroad,1174,1417,384,51.688,385,413,0.001,34,384,2.916
Hamsterster,1858,12534,241,34.059,242,247,0.002,240,241,36.534
Hamsterster Full,2426,16631,416,109.753,417,429,0.003,415,416,119.21
Facebook(NIPS),2888,2981,10,3.506,11,10,0.007,11,10,0.007
