i_name,v_count,e_count,size1,time1,size2,time2
David Copperfield,112,425,18,0.011,18,0.009
Jazz musicians,198,2742,13,0.193,14,0.143
PDZBase,212,244,52,0.015,52,0.018
U.Rovira i Virgili,1133,5451,210,5.041,210,4.55
Euroroad,1174,1417,384,59.888,394,2.511
Hamsterster,1858,12534,241,37.111,241,32.694
Hamsterster Full,2426,16631,416,120.849,416,106.081
Facebook(NIPS),2888,2981,10,3.931,10,3.188
